,datetime,machineID,volt,rotate,pressure,vibration,failure,failure_binary,id_falla
67,2015-01-04 01:00:00,1,168.969595196525,467.285904563915,117.148227346375,58.3920501669205,0,0,0
68,2015-01-04 02:00:00,1,165.187401310127,475.126936759955,114.584420977964,57.5490157337645,0,0,0
69,2015-01-04 03:00:00,1,192.065085755734,506.595128588594,113.672300622123,57.8091616632702,0,0,0
70,2015-01-04 04:00:00,1,195.564940967406,384.138904796328,106.552827821944,49.6573916294828,0,0,0
71,2015-01-04 05:00:00,1,170.648660563363,464.189725862304,103.742947362501,58.4576673377802,0,0,0
72,2015-01-04 06:00:00,1,165.010140212997,448.468837912926,97.7096295310357,48.2389411079474,0,0,0
73,2015-01-04 07:00:00,1,142.666468736554,433.279498657656,118.853452429611,54.848730590892,0,0,0
74,2015-01-04 08:00:00,1,191.168935981202,479.615136275105,101.9996628699,52.8825672993498,0,0,0
75,2015-01-04 09:00:00,1,157.436263488847,438.09131144586,113.100914724932,53.6955435863186,0,0,0
76,2015-01-04 10:00:00,1,153.14355808407,440.162684605667,94.5248937227406,57.4110776508624,0,0,0
77,2015-01-04 11:00:00,1,215.656488291429,458.097746169369,95.0362798574919,51.6479808086499,0,0,0
78,2015-01-04 12:00:00,1,173.52531962376,421.728389267771,100.617527318967,50.4582965193698,0,0,0
79,2015-01-04 13:00:00,1,169.5011208483,454.460114194808,91.6755756255733,45.9513490795177,0,0,0
80,2015-01-04 14:00:00,1,129.016707155663,479.457720640909,111.575037755875,49.3984116833466,0,0,0
81,2015-01-04 15:00:00,1,168.503141173372,455.536867848162,83.6898366282138,43.9178620620195,0,0,0
82,2015-01-04 16:00:00,1,184.640476023836,365.213803816466,87.4740090629833,52.0481523552736,0,0,0
83,2015-01-04 17:00:00,1,176.208033731766,517.348532840373,82.4008178500825,46.9504922748382,0,0,0
84,2015-01-04 18:00:00,1,183.684832424152,414.481163786939,111.684659086995,56.8371652263292,0,0,0
85,2015-01-04 19:00:00,1,199.755983010266,425.832560410228,107.335079716065,41.6748866788292,0,0,0
86,2015-01-04 20:00:00,1,187.536627710204,427.763970211754,103.159963178568,50.1465152887951,0,0,0
87,2015-01-04 21:00:00,1,162.368944768772,458.491867536534,95.7486834305187,50.2400454419957,0,0,0
88,2015-01-04 22:00:00,1,180.562702676983,447.101399724081,89.2601305236652,51.9419144133929,0,0,0
89,2015-01-04 23:00:00,1,167.023755892669,471.194987261844,89.4742708167077,62.464102741692,0,0,0
90,2015-01-05 00:00:00,1,161.928938166727,376.719605203938,89.9695883700509,58.0874878071692,0,0,0
91,2015-01-05 01:00:00,1,127.163620174711,430.475184915377,95.6671782998651,46.8455998153003,4,1,0
1510,2015-03-05 04:00:00,1,194.512623397453,481.565909253948,108.9800479451,38.7360249626913,0,0,1
1511,2015-03-05 05:00:00,1,191.207034191559,417.822751947323,93.548738990136,34.8138247122148,0,0,1
1512,2015-03-05 06:00:00,1,208.701202457758,383.992488891387,103.683079827496,42.5578242717476,0,0,1
1513,2015-03-05 07:00:00,1,171.483263496925,478.629247018283,74.3780595087011,42.8510749975562,0,0,1
1514,2015-03-05 08:00:00,1,183.41396058516,397.314444142551,89.4334389692298,32.2347122749303,0,0,1
1515,2015-03-05 09:00:00,1,158.476090704166,480.045361352174,90.0834068029922,48.3577315769498,0,0,1
1516,2015-03-05 10:00:00,1,214.281342570599,484.491113228114,85.8747304292944,43.1341462815691,0,0,1
1517,2015-03-05 11:00:00,1,206.264927361162,465.421351414982,105.33474937531,40.9461923080659,0,0,1
