x,y,z
82.24930694805076,115.66541579721667,a
79.42901346055199,126.64518446813742,a
105.87798659463094,171.34174716041815,a
108.9630000920618,69.75460932802122,a
56.331277605288136,119.72214326243181,a
55.57835911937835,100.84397142946779,a
96.56305253023166,97.90206505179412,a
70.54943236383555,107.24694271031984,a
47.892503909050326,110.03912599583464,a
60.71396736208491,105.80471669568459,a
109.4088576415974,136.2038094214928,a
28.863350926720322,124.8759808359356,a
53.69464093053563,82.23471787813429,a
75.86868149644124,88.48956095478508,a
92.67536589875736,116.56770953124231,a
100.08317992440205,96.4499884205103,a
121.92086923432905,122.34020040052673,a
138.224198992077,106.26062102139696,a
136.55812152775366,129.1948094794855,a
95.81924482334833,118.87605138434202,a
111.31729566766425,123.36918115196647,a
135.09306631479322,174.97902924661867,a
142.98997012569944,114.03200467322768,a
182.70285110016295,147.8541604953217,a
132.4272833964807,124.86499512575017,a
179.12299924769212,109.68802102331523,a
174.15607305948214,166.07999685451938,a
162.07749422287324,149.78076920268472,a
153.72276967906885,198.220034016204,a
163.04578075669147,153.4591813700428,a
175.13018104598626,250.53057253808117,a
233.5703648779951,177.70356906124283,a
194.65257734146408,155.81098190978304,a
200.44610734266345,194.022741632821,a
221.30286491490244,185.9190895857554,a
201.74160426906835,184.51424987200113,a
245.99285701965624,183.78449865864985,a
156.8474995541631,234.75710694851693,a
190.92743335874815,162.87313661970745,a
247.354873043351,192.76780269353264,a
167.75724309193228,226.95923430708922,a
207.33499817704933,167.0482022146797,a
230.61287391989416,227.61806160059126,a
235.12509243089818,208.90749549470888,a
193.7969773748692,178.98669387441134,a
249.48477120323244,201.2582934014531,a
255.84747455091468,244.87230622814906,a
248.05327086665108,208.43782337317236,a
289.16283248427976,235.39121963280718,a
221.35322170994132,190.32399633201368,a
233.677656043573,204.1125174578226,a
280.03582911238686,179.27514774220606,a
287.14891957001964,189.49863325949485,a
363.5414241645828,176.33701634894624,a
305.6956424354752,248.92897474438544,a
281.8471714056364,261.8263026896197,a
269.6552103494597,239.20687588038965,a
